City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,bac lieu,9.285,105.7244,24.600000000000023,69,92,8.2,VN,1678017618
125,barrow,71.2906,-156.7887,-25.98999999999998,76,100,12.35,US,1678017618
126,ostrovnoy,68.0531,39.5131,-9.769999999999982,85,100,3.16,RU,1678017619
127,sao filipe,14.8961,-24.4956,23.210000000000036,66,80,3.45,CV,1678017619
128,yuxia,34.0615,108.6291,17.0,33,13,1.46,CN,1678017619
129,chegdomyn,51.1167,133.0167,-0.2699999999999818,88,100,3.96,RU,1678017619
130,khandyga,62.6667,135.6,-18.609999999999985,99,100,0.99,RU,1678017619
131,tuktoyaktuk,69.4541,-133.0374,-35.609999999999985,100,18,2.53,CA,1678017619
132,diu,20.7141,70.9822,30.410000000000025,41,28,3.31,IN,1678017620
133,rodrigues alves,-7.738,-72.6509,22.200000000000045,99,100,0.96,BR,1678017620
134,severo-kurilsk,50.6789,156.125,-5.2999999999999545,77,91,4.16,RU,1678017620
135,homer,59.6425,-151.5483,-8.989999999999952,67,60,2.23,US,1678017620
136,micheweni,-4.9667,39.8333,28.910000000000025,62,68,7.18,TZ,1678017620
137,bambous virieux,-20.3428,57.7575,27.900000000000034,86,100,4.3,MU,1678017620
138,jining,35.405,116.5814,14.32000000000005,34,0,4.06,CN,1678017620
139,svetlogorsk,52.6333,29.7333,1.7100000000000364,49,100,6.92,BY,1678017620
140,faanui,-16.4833,-151.75,27.79000000000002,77,99,6.04,PF,1678017621
141,tabuk,17.4189,121.4443,18.480000000000018,85,67,3.35,PH,1678017621
142,singleton,-32.5667,151.1833,22.210000000000036,72,2,0.83,AU,1678017621
143,onega,63.9061,38.1404,-9.269999999999982,85,40,2.42,RU,1678017621
144,wawa,9.9022,4.4192,38.34000000000003,27,8,2.07,NG,1678017621
145,sovetskiy,61.3614,63.5842,-4.349999999999966,94,100,1.65,RU,1678017384
146,ajra,16.1167,74.2,32.83000000000004,16,1,3.0,IN,1678017622
147,noyabrsk,63.1994,75.4507,-15.289999999999964,97,93,3.04,RU,1678017622
148,saint-joseph,-21.3667,55.6167,26.720000000000027,88,100,2.86,RE,1678017622
149,sangar,63.9242,127.4739,-16.97999999999996,98,100,0.8,RU,1678017413
150,oranjemund,-28.55,16.4333,21.170000000000016,63,7,6.13,NA,1678017579
151,mezen,65.8522,44.24,-11.329999999999984,91,93,1.19,RU,1678017449
152,iqaluit,63.7506,-68.5145,-5.149999999999977,92,100,12.35,CA,1678017622
153,kuchinarai,16.541,104.05,25.510000000000048,49,1,6.98,TH,1678017622
154,suluq,31.6682,20.2521,17.870000000000005,40,30,9.19,LY,1678017622
155,cockburn town,21.4612,-71.1419,25.110000000000014,73,82,6.43,TC,1678017623
156,marawi,7.9986,124.2928,20.090000000000032,98,80,1.61,PH,1678017623
157,dongsheng,39.8161,109.9776,6.2900000000000205,25,2,4.17,CN,1678017382
158,moose factory,51.2585,-80.6094,-9.069999999999993,98,100,1.43,CA,1678017623
159,tessalit,20.1986,1.0114,31.260000000000048,5,100,0.89,ML,1678017623
160,coquimbo,-29.9533,-71.3436,16.850000000000023,94,100,1.03,CL,1678017324
161,dikson,73.5069,80.5464,-31.49999999999997,100,81,1.43,RU,1678017623
162,mahebourg,-20.4081,57.7,27.920000000000016,85,100,3.94,MU,1678017624
163,avera,33.194,-82.5271,11.03000000000003,72,0,3.51,US,1678017624
164,sola,-13.8833,167.55,27.210000000000036,79,97,10.89,VU,1678017624
165,boshnyakovo,49.6333,142.1667,-1.669999999999959,88,29,5.45,RU,1678017624
166,carnarvon,-24.8667,113.6333,25.920000000000016,71,0,12.01,AU,1678017624
167,hobart,-42.8794,147.3294,17.930000000000007,88,0,1.54,AU,1678017624
168,smithers,54.7804,-127.1743,-15.739999999999952,95,84,0.99,CA,1678017625
169,coffs harbour,-30.3,153.1333,22.980000000000018,73,1,4.63,AU,1678017625
